Variable;Código;Etiqueta
Mupreg;1901;Zacapa
Mupreg;1902;Estanzuela
Mupreg;1903;Río Hondo
Mupreg;1904;Gualán
Mupreg;1905;Teculután
Mupreg;1906;Usumatlán
Mupreg;1907;Cabañas
Mupreg;1908;San Diego
Mupreg;1909;La Unión
Mupreg;1910;Huité
Mupreg;2001;Chiquimula
Mupreg;2002;San José La Arada
Mupreg;2003;San Juan Ermita
Mupreg;2004;Jocotán
Mupreg;2005;Camotán
Mupreg;2006;Olopa
Mupreg;2007;Esquipulas
Mupreg;2008;Concepción Las Minas
Mupreg;2009;Quetzaltepeque
Mupreg;2010;San Jacinto
Mupreg;2011;Ipala
Mupreg;2101;Jalapa
Mupreg;2102;San Pedro Pinula
Mupreg;2103;San Luis Jilotepeque
Mupreg;2104;San Manuel Chaparrón
Mupreg;2105;San Carlos Alzatate
Mupreg;2106;Monjas
Mupreg;2107;Mataquescuintla
Mupreg;2201;Jutiapa
Mupreg;2202;El Progreso
Mupreg;2203;Santa Catarina Mita
Mupreg;2204;Agua Blanca
Mupreg;2205;Asunción Mita
Mupreg;2206;Yupiltepeque
Mupreg;2207;Atescatempa
Mupreg;2208;Jerez
Mupreg;2209;El Adelanto
Mupreg;2210;Zapotitlán
Mupreg;2211;Comapa
Mupreg;2212;Jalpatagua
Mupreg;2213;Conguaco
Mupreg;2214;Moyuta
Mupreg;2215;Pasaco
Mupreg;2216;San José Acatempa
Mupreg;2217;Quesada
Mesreg;1;Enero
Mesreg;2;Febrero
Mesreg;3;Marzo
Mesreg;4;Abril
Mesreg;5;Mayo
Mesreg;6;Junio
Mesreg;7;Julio
Mesreg;8;Agosto
Mesreg;9;Septiembre
Mesreg;10;Octubre
Mesreg;11;Noviembre
Mesreg;12;Diciembre
Añoreg;2011;2011
Añoreg;2012;2012
Depocu;1;Guatemala
Depocu;2;El Progreso
Depocu;3;Sacatepéquez
Depocu;4;Chimaltenango
Depocu;5;Escuintla
Depocu;6;Santa Rosa
Depocu;7;Sololá
Depocu;8;Totonicapán
Depocu;9;Quetzaltenango
Depocu;10;Suchitepéquez
Depocu;11;Retalhuleu
Depocu;12;San Marcos
Depocu;13;Huehuetenango
Depocu;14;Quiché
Depocu;15;Baja Verapaz
Depocu;16;Alta Verapaz
Depocu;17;Petén
Depocu;18;Izabal
Depocu;19;Zacapa
Depocu;20;Chiquimula
Depocu;21;Jalapa
Depocu;22;Jutiapa
Mupocu;0101;Guatemala
Mupocu;0102;Santa Catarina Pinula
Mupocu;0103;San José Pinula
Mupocu;0104;San José del Golfo
Mupocu;0105;Palencia
Mupocu;0106;Chinautla
Mupocu;0107;San Pedro Ayampuc
Mupocu;0108;Mixco
Mupocu;0109;San Pedro Sacatepéquez
Mupocu;0110;San Juan Sacatepéquez
Mupocu;0111;San Raymundo
Mupocu;0112;Chuarrancho
Mupocu;0113;Fraijanes
Mupocu;0114;Amatitlán
Mupocu;0115;Villa Nueva
